Date;Quantity
01-01-73;54389
01-02-73;54930
01-03-73;54995
01-04-73;55049
01-05-73;56323
01-06-73;55711
01-07-73;57420
01-08-73;56750
01-09-73;57744
01-10-73;56614
01-11-73;53866
01-12-73;54277
01-01-74;55474
01-02-74;55943
01-03-74;56375
01-04-74;57110
01-05-74;57279
01-06-74;56858
01-07-74;55765
01-08-74;54302
01-09-74;54841
01-10-74;55013
01-11-74;55088
01-12-74;54596
01-01-75;52420
01-02-75;51408
01-03-75;51326
01-04-75;50946
01-05-75;51181
01-06-75;52475
01-07-75;53856
01-08-75;55017
01-09-75;56741
01-10-75;51389
01-11-75;53192
01-12-75;53916
01-01-76;53133
01-02-76;54565
01-03-76;55927
01-04-76;54905
01-05-76;55140
01-06-76;56950
01-07-76;57293
01-08-76;57699
01-09-76;58596
01-10-76;60391
01-11-76;60955
01-12-76;62462
01-01-77;56833
01-02-77;60649
01-03-77;61144
01-04-77;60186
01-05-77;58262
01-06-77;59158
01-07-77;58028
01-08-77;58854
01-09-77;60089
01-10-77;59961
01-11-77;61113
01-12-77;62350
01-01-78;56705
01-02-78;58208
01-03-78;58717
01-04-78;59610
01-05-78;58596
01-06-78;59981
01-07-78;59555
01-08-78;60357
01-09-78;62477
01-10-78;62906
01-11-78;63054
01-12-78;61691
01-01-79;60148
01-02-79;60473
01-03-79;61633
01-04-79;62870
01-05-79;62667
01-06-79;62919
01-07-79;63552
01-08-79;63425
01-09-79;63183
01-10-79;63629
01-11-79;63954
01-12-79;63490
01-01-80;62.348.011
01-02-80;62.715.757
01-03-80;61.647.494
01-04-80;60391.36
01-05-80;59.778.782
01-06-80;60.008.624
01-07-80;59.608.899
01-08-80;59.446.012
01-09-80;58.297.803
01-10-80;55.842.496
01-11-80;56.668.926
01-12-80;58.047.975
01-01-81;57.891.773
01-02-81;58.156.649
01-03-81;58.809.342
01-04-81;57.803.815
01-05-81;56.994.195
01-06-81;56.310.517
01-07-81;55.016.126
01-08-81;54.079.566
01-09-81;54.190.514
01-10-81;54.556.342
01-11-81;53.982.612
01-12-81;54.949.157
01-01-82;54.696.333
01-02-82;54.057.656
01-03-82;52.235.578
01-04-82;50.937.234
01-05-82;51.782.807
01-06-82;53.723.825
01-07-82;53.304.037
01-08-82;53.226.077
01-09-82;53081.15
01-10-82;54.797.282
01-11-82;55.385.984
01-12-82;54.251.558
01-01-83;52.762.757
01-02-83;49812.05
01-03-83;50.735.958
01-04-83;50.958.936
01-05-83;52.658.767
01-06-83;52.868.746
01-07-83;54651.57
01-08-83;54.498.585
01-09-83;55.152.519
01-10-83;54.891.545
01-11-83;55.259.509
01-12-83;54.454.589
