Date	Quantity
01-01-73	54389,00
01-02-73	54930,00
01-03-73	54995,00
01-04-73	55049,00
01-05-73	56323,00
01-06-73	55711,00
01-07-73	57420,00
01-08-73	56750,00
01-09-73	57744,00
01-10-73	56614,00
01-11-73	53866,00
01-12-73	54277,00
01-01-74	55474,00
01-02-74	55943,00
01-03-74	56375,00
01-04-74	57110,00
01-05-74	57279,00
01-06-74	56858,00
01-07-74	55765,00
01-08-74	54302,00
01-09-74	54841,00
01-10-74	55013,00
01-11-74	55088,00
01-12-74	54596,00
01-01-75	52420,00
01-02-75	51408,00
01-03-75	51326,00
01-04-75	50946,00
01-05-75	51181,00
01-06-75	52475,00
01-07-75	53856,00
01-08-75	55017,00
01-09-75	56741,00
01-10-75	51389,00
01-11-75	53192,00
01-12-75	53916,00
01-01-76	53133,00
01-02-76	54565,00
01-03-76	55927,00
01-04-76	54905,00
01-05-76	55140,00
01-06-76	56950,00
01-07-76	57293,00
01-08-76	57699,00
01-09-76	58596,00
01-10-76	60391,00
01-11-76	60955,00
01-12-76	62462,00
01-01-77	56833,00
01-02-77	60649,00
01-03-77	61144,00
01-04-77	60186,00
01-05-77	58262,00
01-06-77	59158,00
01-07-77	58028,00
01-08-77	58854,00
01-09-77	60089,00
01-10-77	59961,00
01-11-77	61113,00
01-12-77	62350,00
01-01-78	56705,00
01-02-78	58208,00
01-03-78	58717,00
01-04-78	59610,00
01-05-78	58596,00
01-06-78	59981,00
01-07-78	59555,00
01-08-78	60357,00
01-09-78	62477,00
01-10-78	62906,00
01-11-78	63054,00
01-12-78	61691,00
01-01-79	60148,00
01-02-79	60473,00
01-03-79	61633,00
01-04-79	62870,00
01-05-79	62667,00
01-06-79	62919,00
01-07-79	63552,00
01-08-79	63425,00
01-09-79	63183,00
01-10-79	63629,00
01-11-79	63954,00
01-12-79	63490,00
01-01-80	62348011,00
01-02-80	62715757,00
01-03-80	61647494,00
01-04-80	60391.36
01-05-80	59778782,00
01-06-80	60008624,00
01-07-80	59608899,00
01-08-80	59446012,00
01-09-80	58297803,00
01-10-80	55842496,00
01-11-80	56668926,00
01-12-80	58047975,00
01-01-81	57891773,00
01-02-81	58156649,00
01-03-81	58809342,00
01-04-81	57803815,00
01-05-81	56994195,00
01-06-81	56310517,00
01-07-81	55016126,00
01-08-81	54079566,00
01-09-81	54190514,00
01-10-81	54556342,00
01-11-81	53982612,00
01-12-81	54949157,00
01-01-82	54696333,00
01-02-82	54057656,00
01-03-82	52235578,00
01-04-82	50937234,00
01-05-82	51782807,00
01-06-82	53723825,00
01-07-82	53304037,00
01-08-82	53226077,00
01-09-82	53081.15
01-10-82	54797282,00
01-11-82	55385984,00
01-12-82	54251558,00
01-01-83	52762757,00
01-02-83	49812.05
01-03-83	50735958,00
01-04-83	50958936,00
01-05-83	52658767,00
01-06-83	52868746,00
01-07-83	54651.57
01-08-83	54498585,00
01-09-83	55152519,00
01-10-83	54891545,00
01-11-83	55259509,00
01-12-83	54454589,00
01-01-84	54576637,00
01-02-84	54927706,00
01-03-84	54649651,00
01-04-84	54848.69
01-05-84	54467616,00
01-06-84	55744865,00
01-07-84	55024725,00
01-08-84	53346397,00
01-09-84	53805487,00
01-10-84	54216567,00
01-11-84	54233.57
01-12-84	54193563,00
01-01-85	52956948,00
01-02-85	54426531,00
01-03-85	54645468,00
01-04-85	54219.59
01-05-85	52782998,00
01-06-85	51324413,00
01-07-85	52353.12
01-08-85	52216159,00
01-09-85	54095625,00
01-10-85	55779147,00
01-11-85	56257011,00
01-12-85	56571921,00
01-01-86	55650355,00
01-02-86	55660371,00
01-03-86	55162501,00
01-04-86	55266682,00
01-05-86	56447749,00
01-06-86	57220.1
01-07-86	58359093,00
01-08-86	59013237,00
01-09-86	54978178,00
01-10-86	55334802,00
01-11-86	56264428,00
01-12-86	56434726,00
01-01-87	55634929,00
01-02-87	54938329,00
01-03-87	54196.69
01-04-87	54870.27
01-05-87	55674963,00
01-06-87	55375706,00
01-07-87	57939915,00
01-08-87	58737602,00
01-09-87	58130079,00
01-10-87	58325247,00
01-11-87	57862849,00
01-12-87	57936912,00
01-01-88	57137658,00
01-02-88	57217705,00
01-03-88	57578918,00
01-04-88	57890101,00
01-05-88	57606934,00
01-06-88	57271737,00
01-07-88	57695987,00
01-08-88	58852668,00
01-09-88	59206876,00
01-10-88	60890869,00
01-11-88	61350139,00
01-12-88	61597285,00
01-01-89	58706812,00
01-02-89	58227577,00
01-03-89	58629775,00
01-04-89	59059986,00
01-05-89	58980947,00
01-06-89	59017965,00
01-07-89	59536219,00
01-08-89	60428657,00
01-09-89	60511699,00
01-10-89	61081978,00
01-11-89	61842351,00
01-12-89	61485176,00
01-01-90	60921388,00
01-02-90	61178881,00
01-03-90	62082423,00
01-04-90	61805933,00
01-05-90	61238.41
01-06-90	60409.37
01-07-90	60513802,00
01-08-90	56965632,00
01-09-90	59513976,00
01-10-90	59854228,00
01-11-90	60672389,00
01-12-90	60883958,00
01-01-91	60637251,00
01-02-91	60326.57
01-03-91	60581691,00
01-04-91	59183328,00
01-05-91	59006359,00
01-06-91	59198905,00
01-07-91	60191613,00
01-08-91	59495341,00
01-09-91	60534055,00
01-10-91	60489449,00
01-11-91	60735218,00
01-12-91	61143298,00
01-01-92	61259803,00
01-02-92	60422656,00
01-03-92	59773365,00
01-04-92	60133336,00
01-05-92	59005.23
01-06-92	59247736,00
01-07-92	59712625,00
01-08-92	59699.38
01-09-92	59960921,00
01-10-92	60758671,00
01-11-92	60469679,00
01-12-92	60790383,00
01-01-93	60602361,00
01-02-93	60965441,00
01-03-93	60256832,00
01-04-93	59577715,00
01-05-93	59713933,00
01-06-93	59473076,00
01-07-93	60069081,00
01-08-93	59895148,00
01-09-93	59921026,00
01-10-93	60385327,00
01-11-93	60445.99
01-12-93	60837893,00
01-01-94	61138.9
01-02-94	60960.8
01-03-94	60868.7
01-04-94	60411,00
01-05-94	60850.1
01-06-94	61162,00
01-07-94	60766,00
