DATE,IGREA
1974-01-01,105.73842
1974-02-01,88.796867
1974-03-01,98.381473
1974-04-01,86.405373
1974-05-01,104.16137
1974-06-01,82.491099
1974-07-01,62.187558
1974-08-01,58.821082
1974-09-01,60.568495
1974-10-01,61.721807
1974-11-01,59.135562
1974-12-01,21.971351
1975-01-01,-0.59422323
1975-02-01,-9.5429282
1975-03-01,-26.347058
1975-04-01,-41.101785
1975-05-01,-43.768568
1975-06-01,-36.624828
1975-07-01,-41.610057
1975-08-01,-45.323831
1975-09-01,-34.11578
1975-10-01,-33.708163
1975-11-01,-23.811794
1975-12-01,-35.435576
1976-01-01,-45.742122
1976-02-01,-50.002867
1976-03-01,-32.275219
1976-04-01,-28.688089
1976-05-01,-19.095836
1976-06-01,-15.969177
1976-07-01,-21.280373
1976-08-01,-23.766147
1976-09-01,-24.500656
1976-10-01,-20.591405
1976-11-01,-19.163765
1976-12-01,-35.56742
1977-01-01,-48.95094
1977-02-01,-44.863578
1977-03-01,-45.20316
1977-04-01,-43.325949
1977-05-01,-35.579951
1977-06-01,-40.357183
1977-07-01,-44.155336
1977-08-01,-46.863564
1977-09-01,-47.025317
1977-10-01,-32.797716
1977-11-01,-33.279923
1977-12-01,-37.853543
1978-01-01,-38.3285
1978-02-01,-38.640783
1978-03-01,-39.108652
1978-04-01,-39.729157
1978-05-01,-22.629519
1978-06-01,-17.067322
1978-07-01,-25.672835
1978-08-01,-26.11662
1978-09-01,-13.852613
1978-10-01,-17.891863
1978-11-01,-3.8711315
1978-12-01,-6.8753419
1979-01-01,-16.155612
1979-02-01,-10.705982
1979-03-01,7.1923549
1979-04-01,9.1692472
1979-05-01,28.971456
1979-06-01,46.254439
1979-07-01,54.278761
1979-08-01,37.181539
1979-09-01,43.747985
1979-10-01,43.673381
1979-11-01,49.182401
1979-12-01,35.369235
1980-01-01,34.745781
1980-02-01,40.099731
1980-03-01,42.075763
1980-04-01,60.406179
1980-05-01,63.561868
1980-06-01,56.800331
1980-07-01,44.686174
1980-08-01,53.438566
1980-09-01,54.686867
1980-10-01,54.570858
1980-11-01,64.395714
1980-12-01,68.032777
1981-01-01,63.723259
1981-02-01,61.533404
1981-03-01,50.009907
1981-04-01,45.658193
1981-05-01,35.587998
1981-06-01,40.842334
1981-07-01,32.492021
1981-08-01,14.897409
1981-09-01,12.822104
1981-10-01,15.353888
1981-11-01,14.384987
1981-12-01,7.4393061
1982-01-01,2.8620353
1982-02-01,-6.4805396
1982-03-01,2.743687
1982-04-01,10.688586
1982-05-01,7.5404324
1982-06-01,-16.803433
1982-07-01,-41.104017
1982-08-01,-43.450194
1982-09-01,-27.646888
1982-10-01,-27.081463
1982-11-01,-24.488837
1982-12-01,-19.738458
1983-01-01,-17.709923
1983-02-01,-12.836213
1983-03-01,-9.9478042
1983-04-01,-7.2604651
1983-05-01,-7.4677124
1983-06-01,-22.406148
1983-07-01,-33.662619
1983-08-01,-34.707881
1983-09-01,-31.691998
1983-10-01,-28.724944
1983-11-01,-21.349196
1983-12-01,-31.673351
1984-01-01,-29.80907
1984-02-01,-23.180155
1984-03-01,-18.933186
1984-04-01,-14.963288
1984-05-01,-15.599702
1984-06-01,-24.454363
1984-07-01,-29.345176
1984-08-01,-28.498087
1984-09-01,-25.356047
1984-10-01,-24.085954
1984-11-01,-16.54239
1984-12-01,-19.70207
1985-01-01,-23.259128
1985-02-01,-27.590568
1985-03-01,-25.862197
1985-04-01,-20.880747
1985-05-01,-24.90493
1985-06-01,-34.411018
1985-07-01,-50.157389
1985-08-01,-57.618222
1985-09-01,-50.070054
1985-10-01,-37.001169
1985-11-01,-36.182298
1985-12-01,-36.03293
1986-01-01,-37.788103
1986-02-01,-51.74238
1986-03-01,-55.386012
1986-04-01,-61.55072
1986-05-01,-66.3889
1986-06-01,-69.351067
1986-07-01,-80.977961
1986-08-01,-78.315616
1986-09-01,-54.277054
1986-10-01,-48.830666
1986-11-01,-51.151784
1986-12-01,-60.143791
1987-01-01,-46.548757
1987-02-01,-41.822127
1987-03-01,-35.114938
1987-04-01,-25.219792
1987-05-01,-19.47321
1987-06-01,-30.762749
1987-07-01,-33.708465
1987-08-01,-18.826835
1987-09-01,-22.375939
1987-10-01,-17.37605
1987-11-01,-12.365684
1987-12-01,-5.1776408
1988-01-01,2.8363831
1988-02-01,14.083219
1988-03-01,19.175582
1988-04-01,11.632631
1988-05-01,5.1819055
1988-06-01,-5.1311152
1988-07-01,-11.490837
1988-08-01,-9.4250164
1988-09-01,-4.8783373
1988-10-01,-1.9702955
1988-11-01,7.805083
1988-12-01,11.274942
1989-01-01,17.740523
1989-02-01,12.176227
1989-03-01,17.495982
1989-04-01,16.927228
1989-05-01,21.482127
1989-06-01,3.0686704
1989-07-01,0.98946153
1989-08-01,2.369241
1989-09-01,3.8440306
1989-10-01,10.549884
1989-11-01,18.090333
1989-12-01,14.502249
1990-01-01,16.431185
1990-02-01,12.994688
1990-03-01,12.440822
1990-04-01,2.6025595
1990-05-01,-6.3031508
1990-06-01,-15.133593
1990-07-01,-25.117155
1990-08-01,-16.103712
1990-09-01,-18.702771
1990-10-01,-14.689016
1990-11-01,-9.7279434
1990-12-01,-0.45385525
1991-01-01,0.17090946
1991-02-01,9.9244265
1991-03-01,17.862127
1991-04-01,10.407447
1991-05-01,14.240324
1991-06-01,16.422032
1991-07-01,7.9464742
1991-08-01,2.7828752
1991-09-01,5.8890604
1991-10-01,10.229102
1991-11-01,10.824661
1991-12-01,5.3821422
1992-01-01,2.5053192
1992-02-01,-10.851629
1992-03-01,-18.181247
1992-04-01,-21.999355
1992-05-01,-14.334223
1992-06-01,-22.340954
1992-07-01,-31.770055
1992-08-01,-31.724541
1992-09-01,-33.093111
1992-10-01,-32.501326
1992-11-01,-19.736953
1992-12-01,-7.934251
1993-01-01,-12.558448
1993-02-01,-10.397015
1993-03-01,-2.2805808
1993-04-01,1.7487325
1993-05-01,7.8275318
1993-06-01,4.4878004
1993-07-01,-6.9973279
1993-08-01,-6.316088
1993-09-01,-4.1491873
1993-10-01,-7.6972377
1993-11-01,-13.27812
1993-12-01,-18.455783
1994-01-01,-18.941676
1994-02-01,-25.020336
1994-03-01,-25.648872
1994-04-01,-13.425655
1994-05-01,-0.52666792
1994-06-01,-9.85884
1994-07-01,-5.8807136
1994-08-01,-0.63739145
1994-09-01,3.0380066
1994-10-01,19.374975
1994-11-01,22.215631
1994-12-01,28.979596
1995-01-01,30.075528
1995-02-01,28.627483
1995-03-01,38.444206
1995-04-01,40.997406
1995-05-01,40.565638
1995-06-01,29.09934
1995-07-01,27.322323
1995-08-01,33.156162
1995-09-01,29.335412
1995-10-01,13.425659
1995-11-01,9.7805549
1995-12-01,7.8618968
1996-01-01,2.838852
1996-02-01,-4.7697315
1996-03-01,-8.5454472
1996-04-01,-3.7627075
1996-05-01,-6.5772995
1996-06-01,-17.257793
1996-07-01,-30.188923
1996-08-01,-33.055201
1996-09-01,-38.501959
1996-10-01,-29.210752
1996-11-01,-4.7415333
1996-12-01,-2.3050712
1997-01-01,-3.9577733
1997-02-01,-5.6371098
1997-03-01,-3.1961792
1997-04-01,-9.4795871
1997-05-01,-16.91504
1997-06-01,-17.407657
1997-07-01,-12.238048
1997-08-01,-15.815211
1997-09-01,-15.667043
1997-10-01,-13.627574
1997-11-01,-20.383127
1997-12-01,-20.441719
1998-01-01,-27.010727
1998-02-01,-42.853623
1998-03-01,-35.823137
1998-04-01,-42.748488
1998-05-01,-43.135092
1998-06-01,-52.044632
1998-07-01,-58.690383
1998-08-01,-63.651907
1998-09-01,-54.805195
1998-10-01,-42.800852
1998-11-01,-45.331241
1998-12-01,-57.532033
1999-01-01,-63.119751
1999-02-01,-58.927316
1999-03-01,-44.265981
1999-04-01,-49.314836
1999-05-01,-35.196219
1999-06-01,-42.246779
1999-07-01,-43.723302
1999-08-01,-36.973723
1999-09-01,-28.096288
1999-10-01,-12.545323
1999-11-01,-12.932696
1999-12-01,-12.332502
2000-01-01,-10.39978
2000-02-01,-9.0554199
2000-03-01,5.6197586
2000-04-01,8.7032456
2000-05-01,4.7156277
2000-06-01,3.4834638
2000-07-01,5.1671626
2000-08-01,6.6217557
2000-09-01,10.624617
2000-10-01,11.89386
2000-11-01,11.192093
2000-12-01,4.3404266
2001-01-01,1.2255407
2001-02-01,-4.5527871
2001-03-01,-2.9014072
2001-04-01,-7.1914875
2001-05-01,-6.9118629
2001-06-01,-11.999778
2001-07-01,-24.842694
2001-08-01,-45.511714
2001-09-01,-49.377245
2001-10-01,-54.03255
2001-11-01,-58.718043
2001-12-01,-56.75747
2002-01-01,-49.984785
2002-02-01,-46.921021
2002-03-01,-36.656801
2002-04-01,-35.818474
2002-05-01,-39.936133
2002-06-01,-43.574756
2002-07-01,-44.338184
2002-08-01,-43.043474
2002-09-01,-26.523504
2002-10-01,-12.184803
2002-11-01,-5.4569831
2002-12-01,7.7418198
2003-01-01,9.1344914
2003-02-01,7.565723
2003-03-01,17.564469
2003-04-01,29.056903
2003-05-01,37.166245
2003-06-01,32.8705
2003-07-01,35.296336
2003-08-01,39.225754
2003-09-01,46.523778
2003-10-01,99.282516
2003-11-01,101.46179
2003-12-01,109.46613
2004-01-01,121.82175
2004-02-01,125.91187
2004-03-01,119.83139
2004-04-01,106.46916
2004-05-01,84.027437
2004-06-01,62.379031
2004-07-01,88.817718
2004-08-01,98.778037
2004-09-01,97.95257
2004-10-01,106.76907
2004-11-01,122.1332
2004-12-01,126.17757
2005-01-01,106.0273
2005-02-01,106.43983
2005-03-01,109.41245
2005-04-01,106.09652
2005-05-01,85.134259
2005-06-01,56.433997
2005-07-01,34.608437
2005-08-01,33.572362
2005-09-01,56.311235
2005-10-01,68.309635
2005-11-01,60.910644
2005-12-01,49.605552
2006-01-01,35.240463
2006-02-01,43.094011
2006-03-01,49.257789
2006-04-01,43.629838
2006-05-01,42.558932
2006-06-01,53.183794
2006-07-01,64.329752
2006-08-01,83.019363
2006-09-01,92.794694
2006-10-01,93.131798
2006-11-01,97.190401
2006-12-01,100.23752
2007-01-01,103.10126
2007-02-01,101.4345
2007-03-01,116.33991
2007-04-01,127.82085
2007-05-01,138.24496
2007-06-01,127.81942
2007-07-01,140.78652
2007-08-01,149.97755
2007-09-01,167.25454
2007-10-01,186.65898
2007-11-01,187.16674
2007-12-01,180.28394
2008-01-01,148.30762
2008-02-01,144.01523
2008-03-01,159.77706
2008-04-01,162.45117
2008-05-01,188.9186
2008-06-01,182.35906
2008-07-01,168.14232
2008-08-01,149.63605
2008-09-01,109.96963
2008-10-01,9.7778273
2008-11-01,-67.459964
2008-12-01,-76.206962
2009-01-01,-56.570785
2009-02-01,12.876317
2009-03-01,20.668866
2009-04-01,4.1623998
2009-05-01,46.775311
2009-06-01,87.000957
2009-07-01,74.345861
2009-08-01,51.691089
2009-09-01,38.379236
2009-10-01,53.774991
2009-11-01,89.734655
2009-12-01,80.016813
2010-01-01,68.114487
2010-02-01,51.571732
2010-03-01,69.730213
2010-04-01,64.623052
2010-05-01,88.05084
2010-06-01,66.514997
2010-07-01,18.451252
2010-08-01,42.631339
2010-09-01,53.79001
2010-10-01,52.64664
2010-11-01,37.692852
2010-12-01,24.11006
2011-01-01,-13.182876
2011-02-01,-30.421236
2011-03-01,-7.3296143
2011-04-01,-18.221041
2011-05-01,-17.676175
2011-06-01,-11.706145
2011-07-01,-16.642294
2011-08-01,-15.235021
2011-09-01,13.001233
2011-10-01,24.974538
2011-11-01,12.802258
2011-12-01,14.752372
2012-01-01,-44.022824
2012-02-01,-83.227869
2012-03-01,-63.181836
2012-04-01,-45.946956
2012-05-01,-37.960074
2012-06-01,-53.821286
2012-07-01,-41.730991
2012-08-01,-74.973158
2012-09-01,-82.613407
2012-10-01,-52.925654
2012-11-01,-45.285391
2012-12-01,-63.127019
2013-01-01,-73.634617
2013-02-01,-77.39515
2013-03-01,-60.732203
2013-04-01,-60.598128
2013-05-01,-63.096559
2013-06-01,-53.214076
2013-07-01,-35.49824
2013-08-01,-38.740753
2013-09-01,4.8542901
2013-10-01,16.351133
2013-11-01,-2.5686662
2013-12-01,30.780419
2014-01-01,-8.4500739
2014-02-01,-33.995368
2014-03-01,-7.6402477
2014-04-01,-42.710013
2014-05-01,-48.028939
2014-06-01,-56.395777
2014-07-01,-69.95493
2014-08-01,-53.400166
2014-09-01,-35.169673
2014-10-01,-36.942977
2014-11-01,-17.528007
2014-12-01,-55.207255
2015-01-01,-77.061421
2015-02-01,-106.74721
